Name,Author,Avg Rating,Rating Count,Score,Vote Count
The Bone Collector (Lincoln Rhyme; #1),Jeffery Deaver,0.0,0,910.0,11
A Midsummer Night’s Dream,William Shakespeare,3.94,553595,881.0,12
The Firm,Robin Waterfield,0.0,0,876.0,10
84; Charing Cross Road,Helene Hanff,4.16,87644,847.0,10
Emma,Jane Austen,4.05,915179,847.0,11
Watership Down (Watership Down; #1),Richard  Adams,4.09,489642,826.0,10
Frankenstein,Mary Wollstonecraft Shelley,3.88,1677929,825.0,11
The Maltese Falcon,Dashiell Hammett,3.87,110067,824.0,9
The Grapes of Wrath,John Steinbeck,4.01,935222,785.0,10
Chocolat (Chocolat; #1),Joanne Harris,0.0,0,778.0,10
Slumdog Millionaire,Vikas Swarup,4.02,36785,776.0,9
The World According To Garp,John Irving,0.0,0,741.0,9
The Prince of Tides,Pat Conroy,4.25,211454,721.0,9
Mystic River,Dennis Lehane,0.0,0,706.0,9
Cape Fear,John D. MacDonald,4.05,14340,702.0,9
Terms of Endearment,Larry McMurtry,4.14,25749,698.0,9
Stardust,Neil Gaiman,0.0,0,696.0,8
Schindler’s List,Thomas Keneally,4.34,162221,687.0,9
Sophie’s Choice,William Styron,4.17,92355,673.0,9
The Cider House Rules,John Irving,0.0,0,667.0,8
Red Dragon (Hannibal Lecter; #1),Thomas  Harris,4.06,347072,654.0,8
The Lost World (Jurassic Park; #2),Michael Crichton,3.86,162803,652.0,9
The Pelican Brief,John Grisham,0.0,0,650.0,8
A Time to Kill (Jake Brigance; #1),John Grisham,0.0,0,638.0,8
Trainspotting,Irvine Welsh,4.11,170978,627.0,7
Midnight in the Garden of Good and Evil,John Berendt,3.92,280194,627.0,9
Water for Elephants,Sara Gruen,0.0,0,603.0,7
The Last of the Mohicans (The Leatherstocking Tales; #2),James Fenimore Cooper,3.7,97908,599.0,9
The Thin Red Line,James  Jones,3.99,14081,594.0,7
Kiss the Girls (Alex Cross; #2),James Patterson,0.0,0,583.0,7
Apollo 13,Jim Lovell,4.38,9274,579.0,7
About a Boy,Nick Hornby,3.8,138248,570.0,7
The Three Musketeers,Alexandre Dumas,4.09,333359,565.0,8
Sleeping with the Enemy,Nancy  Price,4.0,9118,563.0,8
Circle of Friends,Maeve Binchy,4.07,66430,559.0,7
The Reader,Bernhard Schlink,3.78,218089,559.0,7
Picnic at Hanging Rock,Joan Lindsay,3.66,26865,554.0,7
The Prime of Miss Jean Brodie,Muriel Spark,3.7,57007,549.0,8
What Was She Thinking? [Notes on a Scandal],Zoë Heller,3.73,24004,547.0,7
In Cold Blood,Truman Capote,4.09,683437,538.0,7
In Her Shoes,Jennifer Weiner,0.0,0,537.0,7
Bambi: A Life in the Woods,Felix Salten,4.12,36858,537.0,6
The Handmaid’s Tale (The Handmaid's Tale; #1),Margaret Atwood,0.0,0,530.0,7
Red Dragon and The Silence of the Lambs,Thomas  Harris,4.48,6082,520.0,7
The Other Boleyn Girl (The Plantagenet and Tudor Novels; #9),Philippa Gregory,0.0,0,519.0,7
It [Eso],Stephen        King,0.0,0,514.0,7
Tinker; Tailor; Soldier; Spy,John Le Carré,4.06,98129,503.0,7
The Caine Mutiny,Herman Wouk,4.29,25851,502.0,7
Howl's Moving Castle (Howl's Moving Castle; #1),Diana Wynne Jones,4.29,389660,501.0,6
A Little Princess,Frances Hodgson Burnett,4.22,312838,500.0,7
One for the Money (Stephanie Plum; #1),Janet Evanovich,0.0,0,498.0,6
The Stepford Wives,Ira Levin,3.86,45438,491.0,7
Persuasion,Jane Austen,4.15,725393,467.0,6
Where the Red Fern Grows,Wilson Rawls,4.12,418480,464.0,5
The Fellowship of the Ring (The Lord of the Rings; #1),J.R.R. Tolkien,4.4,2892104,448.0,6
Out of Africa,Isak Dinesen,3.91,45387,446.0,6
Gone; Baby; Gone (Kenzie & Gennaro; #4),Dennis Lehane,0.0,0,445.0,6
Life of Pi,Yann Martel,3.94,1670092,439.0,5
The Dead Zone,Stephen        King,0.0,0,437.0,5
What Dreams May Come,Richard Matheson,3.96,14220,434.0,5
Girl with a Pearl Earring,Tracy Chevalier,0.0,0,434.0,6
Romeo and Juliet,William Shakespeare,3.74,2674988,433.0,5
The English Patient,Michael Ondaatje,3.86,134819,432.0,6
12 Years a Slave,Solomon Northup,4.22,120138,429.0,5
The Fault in Our Stars,John Green,0.0,0,428.0,5
Twilight,Stephenie Meyer,3.66,6824643,420.0,5
Death on the Nile (Hercule Poirot; #18),Agatha Christie,4.12,276029,414.0,5
Dolores Claiborne,Stephen        King,0.0,0,412.0,5
The Girl on the Train,Paula Hawkins,0.0,0,395.0,5
The Pillars of the Earth (Kingsbridge; #1),Ken Follett,0.0,0,392.0,6
Divergent (Divergent; #1),Veronica Roth,0.0,0,391.0,5
The Commitments (The Barrytown Trilogy; #1; Jimmy Rabbitte; #1),Roddy Doyle,3.92,16742,390.0,5
The Woman in Black,Susan         Hill,3.75,74148,388.0,6
A Passage To India,E.M. Forster,3.68,82357,387.0,5
Rabbit-Proof Fence,Doris Pilkington,3.69,8265,387.0,6
Brokeback Mountain,Annie Proulx,4.0,46745,384.0,5
The Hours,Michael Cunningham,0.0,0,383.0,5
Snow Falling on Cedars,David Guterson,3.86,189809,376.0,5
V for Vendetta,Steve Moore,4.15,3376,370.0,5
Interview with the Vampire (The Vampire Chronicles; #1),Anne Rice,4.02,612054,370.0,5
The Return of the King (The Lord of the Rings; #3),J.R.R. Tolkien,4.57,949786,368.0,5
Valley of the Dolls,Jacqueline Susann,3.84,71516,365.0,5
Empire of the Sun,J.G. Ballard,3.98,21293,357.0,5
Zorba the Greek,Nikos Kazantzakis,4.04,53970,357.0,6
Contact,Carl Sagan,4.15,146530,354.0,4
The Running Man,Richard Bachman,0.0,0,353.0,5
Old Yeller,Fred Gipson,4.1,100096,350.0,5
The Accidental Tourist,Anne Tyler,0.0,0,350.0,4
New Moon (The Twilight Saga; #2),Stephenie Meyer,3.6,1997016,349.0,5
Extremely Loud & Incredibly Close,Jonathan Safran Foer,0.0,0,348.0,4
Apt Pupil,Stephen        King,0.0,0,345.0,4
Beaches,Iris Rainer Dart,4.15,15050,345.0,4
The Mosquito Coast,Paul Theroux,3.81,13153,329.0,5
How to Train Your Dragon (How to Train Your Dragon; #1),Cressida Cowell,3.91,50736,328.0,4
The Painted Veil,W. Somerset Maugham,3.97,48036,325.0,4
Along Came a Spider (Alex Cross; #1),James Patterson,0.0,0,322.0,5
Sarah; Plain and Tall (Sarah; Plain and Tall; #1),Patricia MacLachlan,3.83,87701,320.0,4
The Time Traveler’s Wife,Audrey Niffenegger,0.0,0,318.0,5
The General's Daughter,Nelson DeMille,4.11,64622,317.0,4
Giant,Edna Ferber,4.02,3549,310.0,4
The Spy Who Came In from the Cold (George Smiley; #3),John Le Carré,4.08,115432,309.0,6
Primal Fear (Vail/Stampler; #1),William Diehl,4.24,9762,303.0,4
Modern Classics Maurice,E.M. Forster,4.08,50881,296.0,4
Under the Tuscan Sun: At Home in Italy,Frances Mayes,0.0,0,294.0,4
Presumed Innocent (Kindle County Legal Thriller; #1),Scott Turow,0.0,0,292.0,5
Catching Fire (The Hunger Games; #2),Suzanne Collins,4.33,3745023,286.0,4
Little Children,Tom Perrotta,3.64,32465,284.0,3
The Third Man,Graham Greene,3.79,15499,278.0,4
Vanity Fair,William Makepeace Thackeray,3.8,130078,277.0,4
The Minority Report,Philip K. Dick,3.85,23387,275.0,3
Nothing Lasts Forever (Die Hard; #1),Roderick Thorp,3.54,3010,269.0,3
The Old Man and the Sea,Ernest Hemingway,3.8,1204377,268.0,4
Paper Towns,John Green,0.0,0,268.0,3
Coma,Robin Cook,0.0,0,267.0,3
Where the Heart Is,Billie Letts,4.04,250411,267.0,3
Catch-22,Joseph Heller,3.99,847675,266.0,5
The Go-Between,L.P. Hartley,4.0,12878,265.0,4
Disgrace,J.M. Coetzee,3.85,110112,262.0,3
The Sun Also Rises,Ernest Hemingway,3.79,460586,260.0,4
On the Beach,Nevil Shute,3.97,46238,257.0,4
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1403325,255.0,4
Possession,A.S. Byatt,3.89,81604,255.0,3
Memoirs of a Geisha,Arthur Golden,4.15,2040041,255.0,4
Edge of Tomorrow,Hiroshi Sakurazaka,4.03,22537,253.0,3
A Tree Grows in Brooklyn & Maggie-Now,Betty  Smith,4.42,1273,248.0,4
Charlotte’s Web,E.B. White,4.2,1909610,248.0,3
The Wolfman,Jonathan Maberry,0.0,0,245.0,3
Angela’s Ashes (Frank McCourt; #1),Frank McCourt,4.15,639773,245.0,4
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,0.0,0,244.0,3
Magnificent Obsession,Lloyd C. Douglas,3.86,2080,242.0,4
Something Wicked This Way Comes,Ray Bradbury,3.91,140663,239.0,3
The Shipping News,Annie Proulx,3.88,148308,239.0,3
The Lincoln Lawyer (The Lincoln Lawyer; #1; Harry Bosch Universe; #16),Michael    Connelly,0.0,0,238.0,4
House of Sand and Fog,Andre Dubus III,3.86,134259,236.0,3
The Secret Garden,Frances Hodgson Burnett,4.16,1215231,236.0,4
The Neverending Story,Michael Ende,4.18,208240,235.0,3
The Amityville Horror,Jay Anson,3.83,133905,233.0,3
A Single Man,Christopher Isherwood,4.06,34949,233.0,3
Flowers in the Attic (Dollanganger; #1),V.C. Andrews,3.85,222959,231.0,3
From the Terrace,John O'Hara,3.92,438,229.0,3
Le relazioni pericolose,Pierre Choderlos de Laclos,4.06,55129,228.0,3
Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,579952,226.0,3
The Brothers Karamazov,Fyodor Dostoevsky,4.38,346506,224.0,4
Hearts in Atlantis,Stephen        King,0.0,0,222.0,3
Mutiny on the Bounty,Charles Bernard Nordhoff,4.01,15150,220.0,3
I Am Number Four (Lorien Legacies; #1),Pittacus Lore,3.93,345832,220.0,3
Anne of Avonlea (Anne of Green Gables; #2),L.M. Montgomery,4.23,208587,220.0,3
اوليفر تويست,Charles Dickens,3.88,404488,219.0,3
Mockingjay (The Hunger Games; #3),Suzanne Collins,4.1,3367546,217.0,3
The Color of Magic (Discworld; #1; Rincewind; #1),Terry Pratchett,4.0,399401,216.0,3
The Man in the Iron Mask,Alexandre Dumas,3.99,78080,213.0,3
Hannibal Rising (Hannibal Lecter; #4),Thomas  Harris,3.56,50066,212.0,3
Breaking Dawn (The Twilight Saga; #4),Stephenie Meyer,3.74,1765087,211.0,3
Tintenherz (Tintenwelt; #1),Cornelia Funke,0.0,0,210.0,3
Corelli’s Mandolin,Louis de Bernières,4.02,88513,209.0,4
Hogfather (Discworld; #20; Death; #4),Terry Pratchett,4.26,96957,209.0,3
The Moonstone,Wilkie Collins,3.91,95230,207.0,4
The Corrections,Jonathan Franzen,3.84,188281,206.0,3
Casino Royale (James Bond; #1),Ian Fleming,3.74,88546,201.0,3
The Demonologist: The Extraordinary Career of Ed & Lorraine Warren,Gerald Brittle,3.89,8781,199.0,2
The Boys from Brazil,Ira Levin,4.06,39371,198.0,4
Being There,Jerzy Kosiński,3.86,14186,197.0,2
Empire Falls,Richard Russo,0.0,0,196.0,2
The Young Lions,Irwin Shaw,4.23,4347,196.0,3
Looking for Mr. Goodbar,Judith Rossner,3.67,6539,196.0,4
The Bridge Over the River Kwai,Pierre Boulle,3.95,10016,195.0,4
A River Runs Through It,Norman Maclean,4.15,10817,194.0,3
Going Postal (Discworld; #33; Moist von Lipwig; #1),Terry Pratchett,4.41,128424,192.0,2
Prince Caspian (Chronicles of Narnia; #2),C.S. Lewis,3.98,454199,191.0,3
A Kestrel for a Knave,Barry Hines,4.06,7258,187.0,3
The Puppet Masters,Robert A. Heinlein,3.89,33416,185.0,3
Saturday Night and Sunday Morning,Alan Sillitoe,3.81,5099,183.0,3
Mommie Dearest,Christina Crawford,0.0,0,178.0,3
The Natural,Bernard Malamud,3.62,11914,178.0,2
The Ice Storm,Rick Moody,3.65,5998,175.0,3
Crossing Delancey,Susan Sandler,3.86,65,175.0,3
Scarlett,Alexandra Ripley,3.65,66140,172.0,2
The Mission,Robert Bolt,3.76,126,170.0,2
Jean de Florette & Manon of the Springs,Marcel Pagnol,4.35,1367,170.0,2
The Chocolate War (Chocolate War; #1),Robert Cormier,3.49,45825,169.0,2
Mrs. Frisby and the Rats of NIMH (Rats of NIMH; #1),Robert C. O'Brien,4.17,181313,169.0,2
The Postman,David Brin,0.0,0,168.0,2
Death in Venice,Thomas Mann,3.74,77091,164.0,2
They Shoot Horses; Don't They?,Horace McCoy,3.86,10605,164.0,4
Election,Tom Perrotta,3.81,12338,164.0,2
The Secret Life of Bees,Sue Monk Kidd,0.0,0,164.0,2
Hawaii,James A. Michener,4.21,79746,163.0,3
Sherlock: The Hound of the Baskervilles,Arthur Conan Doyle,4.13,360119,161.0,2
The Adventures of Tom Sawyer,Mark Twain,3.92,962805,160.0,2
The Jungle Book (Jungle Book; #1),Rudyard Kipling,3.9,126967,160.0,2
The Five People You Meet in Heaven: A Fable,Mitch Albom,0.0,0,158.0,2
I Heard the Owl Call My Name,Margaret Craven,4.04,8408,158.0,2
I; Robot (Robot; #0.1),Isaac Asimov,4.21,357258,155.0,2
Brooklyn,Colm Tóibín,3.73,134323,153.0,2
A Painted House,John Grisham,0.0,0,150.0,2
Eugene Onegin,Alexander Pushkin,4.1,66712,149.0,2
The Howling,Gary Brandner,3.95,14182,148.0,2
Black Like Me,John Howard Griffin,4.11,68550,146.0,3
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92,38264,145.0,2
A Streetcar Named Desire,Tennessee Williams,3.98,322673,145.0,2
The Dressmaker (Dressmaker; #1),Rosalie Ham,3.43,18836,140.0,2
Fever Pitch,Nick Hornby,3.77,41957,139.0,2
The Light Between Oceans,M.L. Stedman,0.0,0,138.0,2
Heartburn,Nora Ephron,3.62,72649,137.0,3
Deliverance,James Dickey,3.89,33051,134.0,2
Shock to the System (Donald Strachey; #5),Richard Stevenson,4.05,322,133.0,2
Tarzan of the Apes (Tarzan; #1),Edgar Rice Burroughs,3.9,46051,133.0,2
Casino,Nicholas Pileggi,4.05,6913,129.0,2
The Birds and Other Stories,Daphne du Maurier,4.05,13159,128.0,3
Dune (Dune; #1),Frank Herbert,4.28,1469692,128.0,2
The Nanny Diaries (Nanny; #1),Emma McLaughlin,0.0,0,125.0,2
Make Room! Make Room!,Harry Harrison,3.71,9055,123.0,2
Shining Through,Susan Isaacs,0.0,0,122.0,2
The Executioner's Song,Norman Mailer,4.05,22221,121.0,2
Compromising Positions (Judith Singer; #1),Susan Isaacs,0.0,0,120.0,2
The Pianist: The Extraordinary Story of One Man's Survival in Warsaw; 1939–45,Władysław Szpilman,4.25,78446,118.0,2
Wir Kinder vom Bahnhof Zoo,Christiane V. Felscherinow,4.35,67383,116.0,2
Kramer kontra Kramer,Avery Corman,3.86,2677,106.0,2
A Tree Grows in Brooklyn,Betty  Smith,4.3,481080,105.0,2
Who Censored Roger Rabbit? (Roger Rabbit; #1),Gary K. Wolf,3.71,3742,100.0,0
Into the Wild,Jon Krakauer,0.0,0,100.0,0
After Hours (Basis for the film Carlito's Way starring Al Pacino),Edwin Torres,4.06,176,100.0,0
Prinsesse af Blodet,Bodil Steensen-Leth,3.31,36,100.0,0
Perfume: The Story of a Murderer,Patrick Süskind,4.04,497531,100.0,0
The Once and Future King,T.H. White,4.07,114436,100.0,2
The Squaw Man,Julie Opp Faversham,3.0,6,100.0,0
Jamaica Inn,Daphne du Maurier,3.9,53483,100.0,0
The Lost World (Professor Challenger; #1),Arthur Conan Doyle,3.93,69130,100.0,0
The Man in the Brown Suit (Colonel Race #1),Agatha Christie,3.95,116120,100.0,0
Shadow and Bone (Shadow and Bone; #1),Leigh Bardugo,0.0,0,100.0,0
The Lucky One,Nicholas Sparks,0.0,0,100.0,0
Jessica Darling's It List: The (Totally Not) Guaranteed Guide to Popularity; Prettiness & Perfection,Megan McCafferty,0.0,0,100.0,0
Dune (Dune; #1),Frank Herbert,4.28,1469692,100.0,0
I'm Not Scared,Niccolò Ammaniti,3.89,31341,99.0,0
Eddie and the Cruisers,P.F. Kluge,3.92,411,99.0,0
And Then There Were None,Agatha Christie,4.28,1444040,99.0,0
Holes (Holes; #1),Louis Sachar,0.0,0,99.0,0
Geek Girl (Geek Girl; #1),Holly Smale,0.0,0,99.0,0
The Light in the Piazza,Elizabeth Spencer,3.51,533,98.0,0
Rumpole for the Defence,John Mortimer,4.11,699,98.0,2
Little Big Man,Thomas Berger,4.27,8432,98.0,0
The Adjustment Bureau and Other Classic Stories,Philip K. Dick,3.7,53,98.0,0
The Phantom of the Opera,Gaston Leroux,3.96,254813,98.0,0
Dear John,Nicholas Sparks,0.0,0,97.0,0
The Loneliness of the Long-Distance Runner,Alan Sillitoe,3.78,6834,97.0,2
The Sweet Hereafter,Russell Banks,3.87,9852,96.0,0
An American Tragedy,Theodore Dreiser,3.96,37563,96.0,2
The Wars of the Roses (Men at Arms Series; 145) (Men-at-Arms; 145),Terence Wise,3.84,44,96.0,2
Revolutionary Road,Richard Yates,3.93,90171,96.0,0
The Capture (Guardians of Ga'Hoole; #1),Kathryn Lasky,3.93,29188,95.0,0
The Adventures of Robin Hood,Roger Lancelyn Green,4.07,13980,95.0,0
Tous les matins du monde,Pascal Quignard,3.44,2609,94.0,0
Tomorrow; When the War Began (Tomorrow; #1),John Marsden,4.04,57849,94.0,0
Rita Hayworth and Shawshank Redemption,Stephen        King,0.0,0,94.0,0
Violent Saturday,W. L. Heath,3.98,54,93.0,0
Tell Me That You Love Me; Junie Moon,Marjorie Kellogg,3.79,506,92.0,0
Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,0.0,0,92.0,0
The King's Damosel,Vera Chapman,3.46,283,92.0,0
Henry V,William Shakespeare,3.85,51040,92.0,0
Eclipse,Stephenie Meyer,3.73,1875072,92.0,0
The Secret of Santa Vittoria,Robert Crichton,4.17,1258,91.0,0
Around the World in Eighty Days,Jules Verne,3.94,259726,91.0,2
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,772961,91.0,2
Outlander (Outlander; #1),Diana Gabaldon,0.0,0,91.0,0
The Night of the Hunter,Davis Grubb,4.19,2544,90.0,2
Devil in a Blue Dress (Easy Rawlins; #1),Walter Mosley,3.87,28152,90.0,0
Jean de Florette,Marcel Pagnol,4.18,2409,90.0,0
Three-Ten to Yuma and Other Stories,Elmore Leonard,3.95,2722,89.0,0
Third Man Out (Donald Strachey; #4),Richard Stevenson,4.1,401,89.0,0
Manon des sources,Marcel Pagnol,4.23,2309,88.0,0
Redwall (Redwall; #1),Brian Jacques,4.14,123021,88.0,2
The World of Winnie-the-Pooh (Winnie-the-Pooh; #1-2),A.A. Milne,4.42,47984,88.0,0
Pascali's Island,Barry Unsworth,3.51,408,87.0,0
Marianne Dreams (The Magic Drawing Pencil; #1),Catherine Storr,4.14,1496,86.0,0
Mattimeo (Redwall; #3),Brian Jacques,4.08,36206,85.0,2
A Good Year,Peter Mayle,3.7,9959,84.0,0
Journey to the Center of the Earth,Jules Verne,3.85,208739,84.0,2
The Polar Express,Chris Van Allsburg,4.32,243434,84.0,0
Shane,Jack Schaefer,3.94,13671,83.0,0
The Beans of Egypt; Maine,Carolyn Chute,3.58,3742,81.0,2
The Millennium Trilogy (Millennium Trilogy; #1-3),Stieg Larsson,4.47,56314,81.0,2
عدالة السماء (Hercule Poirot; #25),Agatha Christie,4.03,80813,80.0,2
Waking the Dead,Scott   Spencer,3.84,454,80.0,0
The Incredible Journey,Sheila Burnford,4.16,51994,80.0,0
Communion: A True Story,Whitley Strieber,0.0,0,79.0,2
Quiet American,Graham Greene,3.97,65843,79.0,0
Demon Seed,Dean Koontz,0.0,0,78.0,0
The Private Life of Sherlock Holmes,Michael Hardwick,3.7,143,78.0,0
The Journey (Guardians of Ga'Hoole; #2),Kathryn Lasky,4.02,14865,78.0,0
Fair Game: My Life as a Spy; My Betrayal by the White House,Valerie Plame Wilson,3.58,2791,77.0,2
The Rescue (Guardians of Ga'Hoole; #3),Kathryn Lasky,4.08,13014,77.0,0
Raintree County,Ross Lockridge Jr.,3.98,1092,75.0,2
Red Dog,Louis de Bernières,3.8,4246,75.0,0
’Salem’s Lot,Stephen        King,0.0,0,75.0,2
The Entity,Frank De Felitta,3.76,2002,74.0,0
Blue Dog,Louis de Bernières,3.95,970,74.0,0
The Chosen (Reuven Malther; #1),Chaim Potok,4.07,94875,73.0,0
The Fixer,Bernard Malamud,3.98,11568,73.0,0
The Septembers of Shiraz,Dalia Sofer,3.83,8198,73.0,0
The Brothers Lionheart,Astrid Lindgren,4.35,39044,72.0,0
The Descendants,Kaui Hart Hemmings,0.0,0,72.0,0
A Wrinkle in Time (A Wrinkle in Time Quintet; #1),Madeleine L'Engle,3.98,1230223,72.0,0
Hideaway,Dean Koontz,0.0,0,71.0,0
The Blackboard Jungle,Evan Hunter,3.92,798,69.0,2
Summer of Fear,Lois Duncan,3.82,5661,68.0,0
Basil of Baker Street (Basil of Baker Street; #1),Eve Titus,3.92,2562,68.0,0
Primary Colors,Anonymous,3.62,6049,67.0,2
The 101 Dalmatians (The Hundred and One Dalmatians; #1),Dodie Smith,4.12,37430,67.0,0
The Little White Horse,Elizabeth Goudge,4.09,14308,66.0,0
Watchmen,Alan             Moore,0.0,0,66.0,0
The Deep End of the Ocean (Cappadora Family; #1),Jacquelyn Mitchard,0.0,0,65.0,0
The Little Mermaid,Hans Christian Andersen,3.97,29735,65.0,0
The Fury,John Farris,3.29,670,64.0,0
Captains Courageous,Rudyard Kipling,3.86,21728,64.0,0
The Miniaturist,Jessie Burton,3.62,146859,64.0,0
2010: Odyssey Two,Arthur C. Clarke,3.95,58705,63.0,0
A High Wind in Jamaica,Richard Hughes,3.77,10104,62.0,0
The Day of the Jackal,Frederick Forsyth,4.27,136785,62.0,3
The Grifters,Jim Thompson,3.93,11723,62.0,2
The Bookshop,Penelope Fitzgerald,3.28,24833,62.0,0
The White Tower,James Ramsey Ullman,3.76,75,61.0,0
The Queen's Necklace,Alexandre Dumas,3.87,2019,61.0,0
Simon vs the Homo Sapiens Agenda,Becky Albertalli,0.0,0,61.0,0
A Dog's Purpose (A Dog's Purpose; #1),W. Bruce Cameron,0.0,0,60.0,0
Catholics,Brian Moore,3.74,670,59.0,0
A Monster Calls,Patrick Ness,4.35,274011,59.0,0
Tulip Fever,Deborah Moggach,0.0,0,58.0,0
The Snake Pit,Mary Jane Ward,4.0,676,57.0,2
A Night to Remember,Walter Lord,4.09,26062,56.0,0
